"","BH_ERR1797972","BH_ERR1797973","BH_ERR1797974","Serum_ERR1797969","Serum_ERR1797970","Serum_ERR1797971"
"LPCHMCBP_00001",0,0,0,0,0,0
"LPCHMCBP_00002",0,0,0,0,0,0
"LPCHMCBP_00003",0,0,0,0,0,0
"LPCHMCBP_00004",0,0,0,0,0,0
"LPCHMCBP_00005",0,0,0,0,0,0
"LPCHMCBP_00006",0,0,0,0,0,0
"LPCHMCBP_00022",0,0,0,0,0,0
"LPCHMCBP_00024",9590.09434392059,8671.86874532838,8618.64617784949,9623.19553420381,9497.02835436112,9754.93255273311
"LPCHMCBP_00025",4567.40535787179,3829.86450007312,4018.93476919121,4457.5826392507,4346.46606606916,4438.23279945993
"LPCHMCBP_00026",21430.200378292,19958.1306003103,19836.4409619681,13052.283243194,12352.8541264079,12094.6647067533
"LPCHMCBP_00027",2108.87376571592,1958.30966768722,2206.3575911611,1140.71541196501,1018.45602593575,1148.5181558968
"LPCHMCBP_00028",21320.0217402731,20322.3201693356,22494.9534496138,5472.19462332099,5657.32071826775,5450.12426023145
"LPCHMCBP_00029",198.503661885177,235.86470847548,227.561545276706,451.195751182915,416.865609063906,420.55404593247
"LPCHMCBP_00030",72227.1053412576,61557.0741272961,65841.4702327345,25744.7667976241,27237.5247363011,24976.0003065327
"LPCHMCBP_00031",61938.6059117135,55798.7219341706,58102.3988972806,22975.1190326705,22221.3077627786,21480.278224226
"LPCHMCBP_00032",4094.82095182405,4104.58814519399,4191.09002518315,8450.08658112823,7837.46858368017,7652.16232307076
"LPCHMCBP_00033",594.600418399178,642.527998950446,641.129918866544,1045.84861299835,1126.12984439065,1181.60743362245
"LPCHMCBP_00034",2890.14047166767,2795.1323498646,2692.15202042572,3134.07510244748,3077.1004081376,3229.94046444582
"LPCHMCBP_00035",0,0,1.9787960458844,0,0,0
"LPCHMCBP_00036",1520.64731811122,1309.45579532939,1250.59910099894,26730.4559771314,27706.7455047972,26599.5097072009
"LPCHMCBP_00037",2747.18141242009,2470.70541368568,2638.72452718684,3064.66037149626,3086.97874010594,3028.20260992492
"LPCHMCBP_00038",2.73170176906207,0,0.989398022942198,0,0,0
"LPCHMCBP_00039",7273.61124375595,7038.88971002113,7107.83539681675,8939.46043433432,9024.84408627451,8819.89360796955
"LPCHMCBP_00040",869.591729818093,792.541568325656,870.670260189135,1199.71793327355,1131.06901037482,1153.85513617513
"LPCHMCBP_00041",16310.9912630696,16231.2874671575,16032.2055637554,4736.39847523809,4665.53618864651,4329.35840178198
"LPCHMCBP_00042",1289.3632349973,1294.9966561125,1406.92398862381,1093.28201248168,1092.54351569829,978.802183045876
"LPCHMCBP_00043",1384.06222965812,1313.97427633467,1269.39766343484,623.575666378439,576.894586950998,622.291900453376
"LPCHMCBP_00044",4614.7548552022,4795.01204280038,4731.30134570959,4111.66589667713,4052.09177341266,3954.70238624315
"LPCHMCBP_00045",433.430014024516,491.610733374181,475.900449035197,1048.16243736339,1172.55800464184,1069.5308477775
"LPCHMCBP_00046",0,0.90369620105548,0,0,0,0
"LPCHMCBP_00047",14307.7432990908,14112.1198756824,13943.5863373244,2842.53323245236,2670.11313104203,2772.02755656504
"LPCHMCBP_00048",8156.86148241935,7914.57132884389,7712.35758883444,989.159916054852,909.794374284022,921.162796039903
"LPCHMCBP_00049",13403.5500135312,13035.8177002253,13179.771063613,2400.59277872961,2340.17684329951,2324.78860924091
"LPCHMCBP_00050",7363.757402135,7694.06945578635,7676.73926000852,1267.97575204224,1314.80598498592,1261.66213779741
"LPCHMCBP_00051",11174.4813699766,11547.4300570869,10984.2968507043,2151.85665948775,2154.46420229474,2057.93959532437
"LPCHMCBP_00052",12991.0630464029,10862.4283366869,10577.654263275,1848.74566766743,1846.26024488256,1842.32559207981
"LPCHMCBP_00053",2236.35318160548,2294.48465447986,2393.35381749718,362.113513128852,334.875453726692,325.555796978181
"LPCHMCBP_00054",17813.4272360538,17595.8687307512,16932.5577646328,2311.51054067555,2195.95319656176,2219.11639972996
"LPCHMCBP_00055",12095.0648661505,12833.3897511889,12261.6096983227,962.550935856885,1004.62636118008,916.893211817238
"LPCHMCBP_00056",28205.7313328223,26603.0087666712,26494.1002583462,984.532267324771,999.687195195907,813.35579441762
"LPCHMCBP_00057",27376.2045622837,26556.9202604174,26251.6977427253,954.452550579243,997.711528802239,814.423190473286
"LPCHMCBP_00058",52263.8288129519,54340.1562656671,51762.336366267,1455.39552561053,1496.56729320336,1337.44725774971
"LPCHMCBP_00059",17438.2735264359,14658.8560773209,14833.0551599494,438.469717175192,398.096778324062,318.084024588518
"LPCHMCBP_00060",22042.1015745619,18823.0881717846,18159.4113130811,591.182125267871,524.539427518801,466.452076326115
"LPCHMCBP_00061",41194.9732447124,35796.3102200086,36322.780218254,1022.71036934794,1069.82335217111,905.15185520491
"LPCHMCBP_00062",35193.424458083,36079.167130939,33850.2745589214,809.838527764206,831.755551734144,705.548792795337
"LPCHMCBP_00063",35241.6845226698,32153.510833554,30230.0671929759,620.104929830878,691.48323778373,652.178990012029
"LPCHMCBP_00064",21423.8264074975,23093.9564179728,24712.1944190273,483.589292293483,476.13560087394,375.723411594491
"LPCHMCBP_00065",38093.5811695706,33129.5027306939,33700.8754574572,1536.37937838695,1671.41376904296,1528.51115171395
"LPCHMCBP_00066",19558.9846664844,18899.9023488743,18938.0675571366,827.192210502011,958.198200928883,816.557982584618
"LPCHMCBP_00067",413.397534384727,414.796556284465,440.282120209278,540.277989236978,543.308258258645,546.506780501078
"LPCHMCBP_00068",5618.19997170433,5278.48951036506,5909.67439103375,6919.49176365388,7096.59368605474,7006.38770939273
"LPCHMCBP_00069",2917.45748935829,3217.15847575751,2939.50152616127,5008.27283813036,5247.36994158168,5261.19515837854
"LPCHMCBP_00070",2852.80721415716,2719.22186897594,2772.29326028404,3828.22241195966,3555.21167540521,3553.36146931267
"LPCHMCBP_00071",2712.57985667864,2866.52434974798,2817.80556933938,3722.94340335031,3487.05118482367,3548.02448903434
"LPCHMCBP_00072",93418.7370983848,94106.4038969124,94556.7690525859,61314.0318492106,61107.3615561451,61134.0416922241
"LPCHMCBP_00073",20027.9268035068,22003.1951032988,24597.424248366,10253.7126736774,10820.7248381185,10536.2664654807
"LPCHMCBP_00074",11416.6922601668,11348.6168928547,11052.5653142873,13657.3483146521,12723.2915752206,12602.7452292504
"LPCHMCBP_00075",2177.16630994247,2164.35240152787,1880.84564161312,46638.6008139406,39403.6783885075,42246.4684872113
"LPCHMCBP_00076",47.3494973304093,44.2811138517185,63.3214734683007,49.7472238483727,49.391659841695,53.3698027833084
