"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LPCHMCBP_00036",14186.2355672615,4.31116011599208,0.0709124962482021,60.7954922486795,0,0
"LPCHMCBP_00047",8441.3539053595,-2.3546940756179,0.0562822593895974,-41.8372343462302,0,0
"LPCHMCBP_00048",4433.98458107941,-3.07723320435334,0.0651570890317113,-47.2279110390534,0,0
"LPCHMCBP_00049",7780.78283477327,-2.48751009680347,0.0556266426844132,-44.7179620549072,0,0
"LPCHMCBP_00050",4429.83499879257,-2.56364371576183,0.0612812533908751,-41.8340613794228,0,0
"LPCHMCBP_00051",6678.41145581244,-2.40498755414027,0.0582128734424,-41.3136719066091,0,0
"LPCHMCBP_00054",9844.73897806751,-2.96041419267982,0.0574357378189562,-51.5430689166277,0,0
"LPCHMCBP_00055",6679.02247075271,-3.68824784133444,0.0643744717866343,-57.293640459823,0,0
"LPCHMCBP_00056",14016.7359357963,-4.86095729997183,0.0743879434452828,-65.3460369360443,0,0
"LPCHMCBP_00057",13825.2349725469,-4.85671738049309,0.0715691230511404,-67.8605126546357,0,0
"LPCHMCBP_00058",27109.2885869083,-5.20611007423685,0.0617735529113216,-84.2773295185146,0,0
"LPCHMCBP_00059",8014.13921396568,-5.34647714548597,0.0955540756304561,-55.9523715781924,0,0
"LPCHMCBP_00060",10101.1291147567,-5.22285656339168,0.0893786140288922,-58.435193028428,0,0
"LPCHMCBP_00061",19385.2915432832,-5.23997178777773,0.0764625290075361,-68.5299303566232,0,0
"LPCHMCBP_00062",17911.6681700395,-5.48473035722751,0.0693750534622589,-79.0591153952953,0,0
"LPCHMCBP_00063",16598.1716178044,-5.63419970938102,0.0751827574931997,-74.9400513793424,0,0
"LPCHMCBP_00064",11760.9042582099,-5.69627287275377,0.0858720915432366,-66.3343907244381,0,0
"LPCHMCBP_00065",18276.7106094776,-4.46889257906462,0.0702907612799185,-63.5772397067684,0,0
"LPCHMCBP_00066",9999.81716108515,-4.46158749278387,0.069061570656987,-64.603041175295,0,0
"LPCHMCBP_00075",22418.5186737905,4.36533918529611,0.075629933604217,57.7197278545899,0,0
"LPCHMCBP_00102",11331.3268820775,-2.25351658664908,0.0545973126406569,-41.2752290846446,0,0
"LPCHMCBP_00121",11780.3477754803,-2.00698017081036,0.0530424516133382,-37.8372437503563,0,0
"LPCHMCBP_00158",946.479875874898,4.55140655371371,0.117902365412453,38.6031827079272,0,0
"LPCHMCBP_00194",2796.23929465986,4.59948800615468,0.0840425179855973,54.7281080624324,0,0
"LPCHMCBP_00195",1368.56552228406,4.52283611078998,0.101645430506437,44.4962069446254,0,0
