"","HI_Serum_ERR1801009","HI_Serum_ERR1801010","HI_Serum_ERR1801011","BHI_ERR1801012","BHI_ERR1801013","BHI_ERR1801014"
"LPCHMCBP_00001",0,0,0,0,0,0
"LPCHMCBP_00002",0,0,0,0,0,0
"LPCHMCBP_00003",0,0,0,0,0,0
"LPCHMCBP_00004",0,0,0,0,0,0
"LPCHMCBP_00005",0,0,0,0,0,0
"LPCHMCBP_00006",0,0,0,0,0,0
"LPCHMCBP_00022",0,0,0,0,0,0
"LPCHMCBP_00024",0,147.9109084535,0,0,0,0
"LPCHMCBP_00025",0,0,0,0,0,0
"LPCHMCBP_00026",0,0,0,0,0,0
"LPCHMCBP_00027",0,0,0,0,0,0
"LPCHMCBP_00028",0,0,0,0,0,0
"LPCHMCBP_00029",0,0,0,0,0,0
"LPCHMCBP_00030",149.697802008233,177.116247065337,27.2956352569334,0,0,0
"LPCHMCBP_00031",0,0,0,0,0,0
"LPCHMCBP_00032",0,0,0.852988601779168,0,0,0
"LPCHMCBP_00033",0,0,0,0,0,0
"LPCHMCBP_00034",0,0,0,0,0,1.11632283346323
"LPCHMCBP_00035",0,0,0,0,0,0
"LPCHMCBP_00036",0,0,0,0,0,81.4915668428161
"LPCHMCBP_00037",213.613717472423,0,220.924047860804,0,220.072132922576,119.446543180566
"LPCHMCBP_00038",0,0,0,0,0,0
"LPCHMCBP_00039",0,0,0,0,0,0
"LPCHMCBP_00040",0,0,0,0,0,0
"LPCHMCBP_00041",0,0,5.97092021245417,0,4.15230439476559,0
"LPCHMCBP_00042",0,0,0,0,0,0
"LPCHMCBP_00043",814.927922168417,595.412064602623,512.64614966928,723.577668246558,486.857690286265,532.485991561962
"LPCHMCBP_00044",0,0.942107697156049,75.0629969565668,0,0,60.2814330070146
"LPCHMCBP_00045",0,0,39.2374756818417,0,0,0
"LPCHMCBP_00046",0,0,0,0,0,0
"LPCHMCBP_00047",0,0,292.575090410255,0,0,0
"LPCHMCBP_00048",0,0,0,0,0,0
"LPCHMCBP_00049",0,0,0,0,0,0
"LPCHMCBP_00050",202.680731932496,0,189.363469594975,131.465470482565,220.072132922576,158.517842351779
"LPCHMCBP_00051",0,0,0,0,0,0
"LPCHMCBP_00052",0,0,93.8287461957085,38.3009638413772,95.5030010796086,66.979370007794
"LPCHMCBP_00053",205.203728595556,167.695170093777,121.124381452642,483.420273349274,210.729448034354,720.028227583786
"LPCHMCBP_00054",0,0,0,0,0,0
"LPCHMCBP_00055",0,0,0,0,0,0
"LPCHMCBP_00056",0,0,0,0,0,0
"LPCHMCBP_00057",0,0,0,0,0,0
"LPCHMCBP_00058",0,0,0,0,0,0
"LPCHMCBP_00059",0,0,0,0,0,0
"LPCHMCBP_00060",0,0,0,0,0,0
"LPCHMCBP_00061",0,0,76.7689741601251,0,0,0
"LPCHMCBP_00062",0,0,0,0,0,0
"LPCHMCBP_00063",0,0,0,0,125.607207941659,1.11632283346323
"LPCHMCBP_00064",0,0,0,0,0,0
"LPCHMCBP_00065",0,0,0,0,0,0
"LPCHMCBP_00066",0,0,0,0,0,0
"LPCHMCBP_00067",0,0,0,0,0,0
"LPCHMCBP_00068",0,0,0,0,0,0
"LPCHMCBP_00069",0,0,0,0,0,0
"LPCHMCBP_00070",2520.47366639705,3486.74058717454,5116.22563347145,629.378000420468,47.7515005398043,128.377125848272
"LPCHMCBP_00071",0,0,15.353794832025,0,0,0
"LPCHMCBP_00072",108.488856511585,0,237.130831294609,1224.59568173917,1931.85961966469,2574.24045396622
"LPCHMCBP_00073",0,0,0,0,0,0
"LPCHMCBP_00074",2148.75215803953,3138.1607392268,3111.7024192904,1997.86108686102,2080.30450177756,1742.57994303611
"LPCHMCBP_00075",0,0,0,0,0,0
"LPCHMCBP_00076",0,0,0,0,0,0
"LPCHMCBP_00077",531.511297017997,285.458632238283,162.920822939821,0,39.4468917502731,542.532897063132
"LPCHMCBP_00078",238.843684103024,672.664895769419,166.332777346938,402.677700926911,121.454903546894,1040.41288078773
"LPCHMCBP_00079",6522.78737289808,3568.70395682711,3402.5715324971,2740.07165643582,2632.56098628138,1677.83321869524
"LPCHMCBP_00080",0,0,0,0,0,0
"LPCHMCBP_00081",0,0,0,0,86.160316191386,0
"LPCHMCBP_00082",52.9829299242624,203.495262585707,389.81579101308,81.7777336072648,264.709405166306,159.634165185242
"LPCHMCBP_00083",0,0,0,0,0,0
"LPCHMCBP_00084",96.714872083971,334.448232490397,92.9757575939293,0,0,425.318999549492
"LPCHMCBP_00085",179.973761964955,0,214.95312764835,192.539980391788,0,292.476582367367
"LPCHMCBP_00086",1020.13165076397,800.791542582641,539.941784926213,495.842207568099,477.515005398043,353.874338207845
"LPCHMCBP_00087",0,0,0,0,0,0
"LPCHMCBP_00088",0,0,0,0,0,0
"LPCHMCBP_00089",187.542751954135,0,63.9741451334376,312.61867784043,320.765514495642,0
"LPCHMCBP_00090",0,0,0,0,0,0
"LPCHMCBP_00091",237.161686327651,0,323.282680074305,120.078697448642,371.63124333152,376.20079487711
"LPCHMCBP_00092",278.370631824299,0,320.723714268967,754.63250379362,146.368729915487,376.20079487711
"LPCHMCBP_00093",74.00790211643,0,378.72693918995,0,98.6172293756828,200.938110023382
"LPCHMCBP_00094",0,0,0,0,0,0
"LPCHMCBP_00095",0,0,0,0,0,0
"LPCHMCBP_00096",0,0,0,0,0,0
"LPCHMCBP_00097",0,0,0,0,0,0
"LPCHMCBP_00098",1438.10809794426,930.802404790176,1332.36819597906,575.549618805559,1681.68327988006,1216.79188847492
"LPCHMCBP_00099",0,0,0,0,220.072132922576,0
"LPCHMCBP_00100",3.36399555074682,0,0,0,0,0
"LPCHMCBP_00101",0,0,0,0,0,0
"LPCHMCBP_00102",0,0,0,0,0,0
"LPCHMCBP_00103",339.763550625429,316.548186244432,110.035529629513,290.880292957486,0,0
"LPCHMCBP_00104",108.488856511585,0,249.072671719517,0,0,0
"LPCHMCBP_00105",0,0,0,0,0,0
"LPCHMCBP_00106",0,0,0,0,0,0
"LPCHMCBP_00107",0,0,0,0,0,0
"LPCHMCBP_00108",0.840998887686704,0,0,0,0,0
"LPCHMCBP_00109",0,0,0,0,0,0
"LPCHMCBP_00110",0,0,0,0,0,0
"LPCHMCBP_00111",0,0,0,0,0,0
"LPCHMCBP_00112",0,0,0,0,0,0
"LPCHMCBP_00113",0,0,0.852988601779168,0,0,0
"LPCHMCBP_00114",0,0,0,0,0,0
"LPCHMCBP_00115",0,0,0,0,0,0
"LPCHMCBP_00116",0,0,0,0,0,0
"LPCHMCBP_00117",0,0,0,0,0,0
