#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
tig00000001	1	2775132	26559505	2697691	97.2095	934.085	37.2	59.5
tig00000002	1	216000	240496	211929	98.1153	108.609	37.5	49.6
tig00000003	1	28873	51978	28109	97.3539	175.101	37.4	57.6
tig00000004	1	14734	4097	12759	86.5956	27.1843	37.4	19.2
tig00000005	1	40013	140522	39597	98.9603	339.957	37.4	46.5
tig00000006	1	15015	6494	14419	96.0306	42.2872	37.4	13.9
tig00000007	1	16122	20213	15613	96.8428	122.495	37.7	25.3
tig00000008	1	24836	6363	23810	95.8689	25.0205	37.6	32.2
tig00000009	1	16483	19245	15785	95.7653	109.83	37.2	13.5
